strategy_id,canonical_title,source_row_exists,implementation_exists,implementation_path,vault_note,catalog_status,asset_class,reported_sharpe,reported_volatility,rebalancing,paper_url
STRAT-EQ-SYNTHETIC-LENDING-RATES-PREDICT-SUBSEQUE,Synthetic Lending Rates Predict Subsequent Market Return,true,true,static/strategies/synthetic-lending-rates-predict-subsequent-market-return.py,60-Trading/Strategies/Synthetic Lending Rates Predict Subsequent Market Return.md,implemented,Equities,0.494,13.7%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3976307
STRAT-EQ-OPTION-EXPIRATION-WEEK-EFFECT,Option-Expiration Week Effect,true,true,static/strategies/option-expiration-week-effect.py,60-Trading/Strategies/Option-Expiration Week Effect.md,implemented,Equities,0.452,5%,Weekly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1571786
STRAT-EQ-DISPERSION-TRADING,Dispersion Trading,true,true,static/strategies/dispersion-trading.py,60-Trading/Strategies/Dispersion Trading.md,implemented,Equities,0.432,8.1%,Monthly,https://www.academia.edu/16327015/EQUILIBRIUM_INDEX_AND_SINGLE_STOCK_VOLATILITY_RISK_PREMIA
STRAT-EQ-MOMENTUM-IN-MUTUAL-FUND-RETURNS,Momentum in Mutual Fund Returns,true,true,static/strategies/momentum-in-mutual-fund-returns.py,60-Trading/Strategies/Momentum in Mutual Fund Returns.md,implemented,Equities,0.414,13.6%,Quarterly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1462408
STRAT-EQ-SECTOR-MOMENTUM-ROTATIONAL-SYSTEM,Sector Momentum – Rotational System,true,true,static/strategies/sector-momentum-rotational-system.py,60-Trading/Strategies/Sector Momentum - Rotational System.md,implemented,Equities,0.401,14.1%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1585517
STRAT-EQ-COMBINING-SMART-FACTORS-MOMENTUM-AND-MAR,Combining Smart Factors Momentum and Market Portfolio,true,true,static/strategies/combining-smart-factors-momentum-and-market-portfolio.py,60-Trading/Strategies/Combining Smart Factors Momentum and Market Portfolio.md,implemented,Equities,0.388,8.2%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3745517
STRAT-EQ-MOMENTUM-AND-REVERSAL-COMBINED-WITH-VOLA,Momentum and Reversal Combined with Volatility Effect in Stocks,true,true,static/strategies/momentum-and-reversal-combined-with-volatility-effect-in-stocks.py,60-Trading/Strategies/Momentum and Reversal Combined with Volatility Effect in Stocks.md,implemented,Equities,0.375,17%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1679464
STRAT-EQ-MARKET-SENTIMENT-AND-AN-OVERNIGHT-ANOMAL,Market Sentiment and an Overnight Anomaly,true,true,static/strategies/market-sentiment-and-an-overnight-anomaly.py,60-Trading/Strategies/Market Sentiment and an Overnight Anomaly.md,implemented,Equities,0.369,3.6%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3829582
STRAT-EQ-JANUARY-BAROMETER,January Barometer,true,true,static/strategies/january-barometer.py,60-Trading/Strategies/January Barometer.md,implemented,Equities,0.365,7.4%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1436516
STRAT-EQ-R-D-EXPENDITURES-AND-STOCK-RETURNS,R&D Expenditures and Stock Returns,true,true,static/strategies/rd-expenditures-and-stock-returns.py,60-Trading/Strategies/R&D Expenditures and Stock Returns.md,implemented,Equities,0.354,8.1%,Yearly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=227564
STRAT-EQ-VALUE-FACTOR-CAPE-EFFECT-WITHIN-COUNTRIE,Value Factor – CAPE Effect within Countries,true,true,static/strategies/value-factor-effect-within-countries.py,60-Trading/Strategies/Value Factor - CAPE Effect within Countries.md,implemented,Equities,0.351,20.2%,Yearly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2129474
STRAT-EQ-12-MONTH-CYCLE-IN-CROSS-SECTION-OF-STOCK,12 Month Cycle in Cross-Section of Stocks Returns,true,true,static/strategies/12-month-cycle-in-cross-section-of-stocks-returns.py,60-Trading/Strategies/12 Month Cycle in Cross-Section of Stocks Returns.md,implemented,Equities,0.34,43.7%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=687022
STRAT-EQ-TURN-OF-THE-MONTH-IN-EQUITY-INDEXES,Turn of the Month in Equity Indexes,true,true,static/strategies/turn-of-the-month-in-equity-indexes.py,60-Trading/Strategies/Turn of the Month in Equity Indexes.md,implemented,Equities,0.305,7.2%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=917884
STRAT-EQ-PAYDAY-ANOMALY,Payday Anomaly,true,true,static/strategies/payday-anomaly.py,60-Trading/Strategies/Payday Anomaly.md,implemented,Equities,0.269,3.8%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3257064
STRAT-EQ-PAIRS-TRADING-WITH-COUNTRY-ETFS,Pairs Trading with Country ETFs,true,true,static/strategies/pairs-trading-with-country-etfs.py,60-Trading/Strategies/Pairs Trading with Country ETFs.md,implemented,Equities,0.257,5.7%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1958546
STRAT-EQ-RESIDUAL-MOMENTUM-FACTOR,Residual Momentum Factor,true,true,static/strategies/residual-momentum-factor.py,60-Trading/Strategies/Residual Momentum Factor.md,implemented,Equities,0.24,9.7%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2319861
STRAT-EQ-EARNINGS-ANNOUNCEMENT-PREMIUM,Earnings Announcement Premium,true,true,static/strategies/earnings-announcement-premium.py,60-Trading/Strategies/Earnings Announcement Premium.md,implemented,Equities,0.192,3.7%,Monthly,https://www.nber.org/system/files/working_papers/w13090/w13090.pdf
STRAT-EQ-ROA-EFFECT-WITHIN-STOCKS,ROA Effect within Stocks,true,true,static/strategies/roa-effect-within-stocks.py,60-Trading/Strategies/ROA Effect within Stocks.md,implemented,Equities,0.155,8.7%,Monthly,https://static1.squarespace.com/static/5e6033a4ea02d801f37e15bb/t/5f61583e88f43b7d5b7196b5/1600215105801/Chen_Zhang_JF.pdf
STRAT-EQ-52-WEEKS-HIGH-EFFECT-IN-STOCKS,52-Weeks High Effect in Stocks,true,true,static/strategies/52-weeks-high-effect-in-stocks.py,60-Trading/Strategies/52-Weeks High Effect in Stocks.md,implemented,Equities,0.153,19%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1787378
STRAT-EQ-COMBINING-FUNDAMENTAL-FSCORE-AND-EQUITY-,Combining Fundamental FSCORE and Equity Short-Term Reversals,true,true,static/strategies/combining-fundamental-fscore-and-equity-short-term-reversals.py,60-Trading/Strategies/Combining Fundamental FSCORE and Equity Short-Term Reversals.md,implemented,Equities,0.153,17.6%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3097420
STRAT-EQ-BETTING-AGAINST-BETA-FACTOR-IN-INTERNATI,Betting Against Beta Factor in International Equities,true,true,static/strategies/betting-against-beta-factor-in-country-equity-indexes.py,60-Trading/Strategies/Betting Against Beta Factor in International Equities.md,implemented,Equities,0.142,9.1%,Monthly,https://pages.stern.nyu.edu/~lpederse/papers/BettingAgainstBeta.pdf
STRAT-EQ-CONSISTENT-MOMENTUM-STRATEGY,Consistent Momentum Strategy,true,true,static/strategies/consistent-momentum-strategy.py,60-Trading/Strategies/Consistent Momentum Strategy.md,implemented,Equities,0.128,28.8%,6 Months,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2652592
STRAT-EQ-SHORT-INTEREST-EFFECT-LONG-SHORT-VERSION,Short Interest Effect – Long-Short Version,true,true,static/strategies/short-interest-effect-long-short-version.py,60-Trading/Strategies/Short Interest Effect - Long-Short Version.md,implemented,Equities,0.079,6.6%,Monthly,https://www.semanticscholar.org/paper/Why-Do-Short-Interest-Levels-Predict-Stock-Returns-Boehmer-Erturk/06418ef437dc7156229532a97d0f8392373eb297?p2df
STRAT-EQ-MOMENTUM-FACTOR-COMBINED-WITH-ASSET-GROW,Momentum Factor Combined with Asset Growth Effect,true,true,static/strategies/momentum-factor-combined-with-asset-growth-effect.py,60-Trading/Strategies/Momentum Factor Combined with Asset Growth Effect.md,implemented,Equities,0.058,25.1%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1684767
STRAT-EQ-MOMENTUM-FACTOR-EFFECT-IN-STOCKS,Momentum Factor Effect in Stocks,true,true,static/strategies/momentum-factor-effect-in-stocks.py,60-Trading/Strategies/Momentum Factor Effect in Stocks.md,implemented,Equities,-0.008,21.8%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2435323
STRAT-EQ-MOMENTUM-FACTOR-AND-STYLE-ROTATION-EFFEC,Momentum Factor and Style Rotation Effect,true,true,static/strategies/momentum-factor-and-style-rotation-effect.py,60-Trading/Strategies/Momentum Factor and Style Rotation Effect.md,implemented,Equities,-0.056,10%,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1276815
STRAT-EQ-EARNINGS-ANNOUNCEMENTS-COMBINED-WITH-STO,Earnings Announcements Combined with Stock Repurchases,true,true,static/strategies/earnings-announcements-combined-with-stock-repurchases.py,60-Trading/Strategies/Earnings Announcements Combined with Stock Repurchases.md,implemented,Equities,-0.16,0.1%,Daily,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2589966
STRAT-EQ-EARNINGS-QUALITY-FACTOR,Earnings Quality Factor,true,true,static/strategies/earnings-quality-factor.py,60-Trading/Strategies/Earnings Quality Factor.md,implemented,Equities,-0.18,28.7%,Yearly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2179247
STRAT-EQ-ACCRUAL-ANOMALY,Accrual Anomaly,true,true,static/strategies/accrual-anomaly.py,60-Trading/Strategies/Accrual Anomaly.md,implemented,Equities,-0.272,13.7%,Yearly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=546108
STRAT-EQ-ESG-PRICE-MOMENTUM-AND-STOCHASTIC-OPTIMI,"ESG, Price Momentum and Stochastic Optimization",true,false,,,paper-only,Equities,N/A,N/A,Monthly,https://quantpedia.com/strategies/esg-price-momentum-and-stochastic-optimization/
STRAT-EQ-THE-POSITIVE-SIMILARITY-OF-COMPANY-FILIN,The Positive Similarity of Company Filings and Stock Returns,true,false,,,paper-only,Equities,N/A,N/A,Monthly,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3690461
